"","Assay","QC","Unit"
"1","8INH","8INH POS","%"
"2","8INHDade","8INH POS","%"
"3","8INH-NIJ","8INH-NIJ POS","%"
"4","Anti-Xa","LMW Hep Low Control","IU/mL"
"5","Anti-Xa","LMW Hep High Control","IU/mL"
"6","Anti-Xa","UF Hep High Control","IU/mL"
"7","Anti-Xa","UF Hep Low Control","IU/mL"
"8","Anti-Xa","LMWH C3","IU/mL"
"9","Anti-Xa","LMWH C4","IU/mL"
"10","APCR V-","APC Control Level 1","TR"
"11","APCR V-","APC Control Level 2","TR"
"12","APCR V+","APC Control Level 1","s"
"13","APCR V+","APC Control Level 2","s"
"14","APIX","APIX HIGH CONTROL","ng/mL"
"15","APIX","APIX LOW CONTROL","ng/mL"
"16","APT Dade","Normal C. Assayed","s"
"17","APT Dade","High Abn C. Assayed","s"
"18","APT Dade","Lupus Pos QC","TR"
"19","APT Dade","LA POS CONTROL","TR"
"20","APTT-SP","High Abn C. Assayed","s"
"21","APTT-SP","Low Abn C. Assayed","s"
"22","APTT-SP","Normal C. Assayed","s"
"23","APTT-SP","Abnormal Control 3","s"
"24","APTT-SP","Abnormal Control 2","s"
"25","APTT-SP","Normal Control 1","s"
"26","APTT-SP","Lupus Pos QC","s"
"27","APTT-SP","LA POS CONTROL","s"
"28","APTT-SS","Normal C. Assayed","s"
"29","APTT-SS","High Abn C. Assayed","s"
"30","ArgatroB","Argatroban C1","ug/mL"
"31","ArgatroB","Argatroban C2","ug/mL"
"32","AT LIQ","Normal C. Assayed","%"
"33","AT LIQ","Special Test 2","%"
"34","AT-Stago","Normal C. Assayed","%"
"35","AT-Stago","Special Test 2","%"
"36","B-F8-CHR","Biophen Normal Ctrl","%"
"37","B-F8-CHR","Biophen Abn Ctrl","%"
"38","BioAPIX","Apixaban High C1","ng/mL"
"39","BioAPIX","Apixaban Low C2","ng/mL"
"40","BIOFXCHR","Biophen Abn Ctrl","%"
"41","BIOFXCHR","Biophen Normal Ctrl","%"
"42","BioRivar","Rivaroxaban C1","µg/mL"
"43","BioRivar","Rivaroxaban C2","µg/mL"
"44","DAB","DAB CII HIGH","ng/mL"
"45","DAB","DAB CI LOW","ng/mL"
"46","DABIG","DAB CI LOW","ug/mL"
"47","DABIG","DAB CII HIGH","ug/mL"
"48","Dade IX","Normal C. Assayed","%"
"49","Dade IX","Special Test 2","%"
"50","Dade XI","Normal C. Assayed","%"
"51","Dade XI","Special Test 2","%"
"52","DadeVIII","Normal C. Assayed","%"
"53","DadeVIII","Special Test 2","%"
"54","DD","D-Dimer High Control","ng/mL"
"55","DD","D-Dimer Low Control","ng/mL"
"56","DD","DD CONTROL L1","ng/mL"
"57","DD","DD CONTROL L2","ng/mL"
"58","DD500","D-Dimer Low Control","ng/mL"
"59","DD500","D-Dimer High Control","ng/mL"
"60","DD500","DD CONTROL L1","ng/mL"
"61","DD500","DD CONTROL L2","ng/mL"
"62","DDHS","D-Dimer High Control","ng/mL"
"63","DDHS","D-Dimer Low Control","ng/mL"
